distrito_nombre,agrupacion_nombre,lista_numero,votos_cantidad,eleccion
Jujuy,PRINCIPIOS Y VALORES,3014.0,4,PASO
Jujuy,PRINCIPIOS Y VALORES,3015.0,21,PASO
Jujuy,PROYECTO JOVEN,3022.0,13,PASO
Jujuy,PROYECTO JOVEN,3023.0,6,PASO
Jujuy,PROYECTO JOVEN,3024.0,2,PASO
Jujuy,UNION DEL CENTRO DEMOCRATICO,3018.0,5,PASO
Jujuy,UNION POR LA PATRIA,3005.0,71980,PASO
Jujuy,UNION POR LA PATRIA,3006.0,15334,PASO
La Pampa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009.0,2556,PASO
La Pampa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010.0,1139,PASO
La Pampa,FRENTE LIBER.AR,3002.0,162,PASO
La Pampa,FRENTE LIBER.AR,3003.0,1,PASO
La Pampa,FRENTE LIBER.AR,3004.0,7,PASO
La Pampa,FRENTE PATRIOTA FEDERAL,3021.0,578,PASO
La Pampa,HACEMOS POR NUESTRO PAIS,3001.0,7504,PASO
La Pampa,JUNTOS POR EL CAMBIO,3007.0,24899,PASO
La Pampa,JUNTOS POR EL CAMBIO,3008.0,32488,PASO
La Pampa,LA LIBERTAD AVANZA,3016.0,66280,PASO
La Pampa,MOVIMIENTO AL SOCIALISMO,3017.0,1133,PASO
La Pampa,MOVIMIENTO DE ACCION VECINAL,3025.0,447,PASO
La Pampa,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026.0,106,PASO
La Pampa,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027.0,643,PASO
La Pampa,MOVIMIENTO LIBRES DEL SUR,3019.0,1000,PASO
La Pampa,POLITICA OBRERA,3020.0,756,PASO
La Pampa,PRINCIPIOS Y VALORES,3011.0,1408,PASO
La Pampa,PRINCIPIOS Y VALORES,3012.0,15,PASO
La Pampa,PRINCIPIOS Y VALORES,3013.0,0,PASO
La Pampa,PRINCIPIOS Y VALORES,3014.0,8,PASO
La Pampa,PRINCIPIOS Y VALORES,3015.0,0,PASO
La Pampa,PROYECTO JOVEN,3022.0,4,PASO
La Pampa,PROYECTO JOVEN,3023.0,0,PASO
La Pampa,PROYECTO JOVEN,3024.0,0,PASO
La Pampa,UNION DEL CENTRO DEMOCRATICO,3018.0,23,PASO
La Pampa,UNION POR LA PATRIA,3005.0,45208,PASO
La Pampa,UNION POR LA PATRIA,3006.0,11726,PASO
La Rioja,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009.0,1122,PASO
La Rioja,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010.0,747,PASO
La Rioja,FRENTE LIBER.AR,3002.0,15,PASO
La Rioja,FRENTE LIBER.AR,3003.0,0,PASO
La Rioja,FRENTE LIBER.AR,3004.0,54,PASO
La Rioja,FRENTE PATRIOTA FEDERAL,3021.0,432,PASO
La Rioja,HACEMOS POR NUESTRO PAIS,3001.0,13371,PASO
La Rioja,JUNTOS POR EL CAMBIO,3007.0,20483,PASO
La Rioja,JUNTOS POR EL CAMBIO,3008.0,18176,PASO
La Rioja,LA LIBERTAD AVANZA,3016.0,69607,PASO
La Rioja,MOVIMIENTO AL SOCIALISMO,3017.0,564,PASO
La Rioja,MOVIMIENTO DE ACCION VECINAL,3025.0,336,PASO
La Rioja,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026.0,28,PASO
La Rioja,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027.0,335,PASO
La Rioja,MOVIMIENTO LIBRES DEL SUR,3019.0,723,PASO
La Rioja,POLITICA OBRERA,3020.0,426,PASO
La Rioja,PRINCIPIOS Y VALORES,3011.0,428,PASO
La Rioja,PRINCIPIOS Y VALORES,3012.0,0,PASO
La Rioja,PRINCIPIOS Y VALORES,3013.0,0,PASO
La Rioja,PRINCIPIOS Y VALORES,3014.0,0,PASO
La Rioja,PRINCIPIOS Y VALORES,3015.0,6,PASO
La Rioja,PROYECTO JOVEN,3022.0,6,PASO
La Rioja,PROYECTO JOVEN,3023.0,4,PASO
La Rioja,PROYECTO JOVEN,3024.0,0,PASO
La Rioja,UNION DEL CENTRO DEMOCRATICO,3018.0,484,PASO
La Rioja,UNION POR LA PATRIA,3005.0,53814,PASO
La Rioja,UNION POR LA PATRIA,3006.0,6346,PASO
Mendoza,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009.0,24852,PASO
Mendoza,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010.0,6600,PASO
Mendoza,FRENTE LIBER.AR,3002.0,42,PASO
Mendoza,FRENTE LIBER.AR,3003.0,1,PASO
Mendoza,FRENTE LIBER.AR,3004.0,17,PASO
Mendoza,FRENTE PATRIOTA FEDERAL,3021.0,2588,PASO
Mendoza,HACEMOS POR NUESTRO PAIS,3001.0,13858,PASO
Mendoza,JUNTOS POR EL CAMBIO,3007.0,64441,PASO
Mendoza,JUNTOS POR EL CAMBIO,3008.0,229636,PASO
Mendoza,LA LIBERTAD AVANZA,3016.0,466437,PASO
Mendoza,MOVIMIENTO AL SOCIALISMO,3017.0,3986,PASO
Mendoza,MOVIMIENTO DE ACCION VECINAL,3025.0,3416,PASO
Mendoza,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026.0,1532,PASO
Mendoza,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027.0,2284,PASO
Mendoza,MOVIMIENTO LIBRES DEL SUR,3019.0,15566,PASO
Mendoza,POLITICA OBRERA,3020.0,3041,PASO
Mendoza,PRINCIPIOS Y VALORES,3011.0,7182,PASO
Mendoza,PRINCIPIOS Y VALORES,3012.0,43,PASO
Mendoza,PRINCIPIOS Y VALORES,3013.0,26,PASO
Mendoza,PRINCIPIOS Y VALORES,3014.0,22,PASO
Mendoza,PRINCIPIOS Y VALORES,3015.0,32,PASO
Mendoza,PROYECTO JOVEN,3022.0,41,PASO
